,댓글
424,와우!!!!!!🔥🔥
425,Design is also 🔥
426,👏👏👏
427,멋지다👍
428,송민호 정규앨범인줄
429,형 송민호 엘범커버랑 비슷해보여
430,호우🎉🎉🎊🎊
431,The bible for the boss??? 🔥🔥 👌
432,that’s when us international fans start crying
433,마이췍췍❤️👍
434,근-본
435,❤️
436,@june_qb 제목 '우사인볼트와 돈까스의 관계' 였으면 샀다
437,@ddongjun__ 나이거 사조요
438,@iam.binn 이거 들고 싸인받으러가자
439,lei rawh i idol @oohmoist.jsuh
440,@m2delight 와우
441,@numlume
442,@s_oneeeee 오빠 크리스마스 선물
443,@woookfficial_96 살거?
444,@h._.hyunn
445,@wugne 파워 생각난다
446,@gyeong__in_ 🔥
447,@hyuniwith
448,@zer0_juuu 당장사러가자
449,@since____98 사주겐니?
450,@youngbinbean 챙겨야해 다 챙겨야해
451,@s.youngee 산다잉🥴
452,와 이거 진짜 재밌던데..
453,내일은 제 생일입니다
454,@young__one_._ .....
455,@rehoonx2 사줄까 공쥬
456,오....🔥🔥🔥🔥
457,바로 살게요 형
458,🤪
459,영어로 번역할 plan있어요?
460,형 나 파워 샀거든 그니까 저거 선물로 주는거 어때
461,바아로 삽니다
462,직업이 몇개입니까 성님
463,😍😍
464,"멘탈하면 스윙스형님..,🔥🔥"
465,와사고싶다 파워도못샀는데
466,🖤🖤🖤
467,존경합니다
468,사야지 💜💜
469,e북이랑 오디오북도 내주세요ㅠㅠ
470,이름값 하겠네🔥
471,🔥👍
472,🔥
473,형 머리에 바코드가 있네요🙊
474,🔥
475,❤️❤️❤️👏👏👏
476,히트다 히트!
477,헐 ❤❤❤ 낼 바로 살게요
478,헐 책이라니〰️ 축하드려요🐰
479,🔥
480,대박 바로 살래
481,🔥🔥🔥🔥
482,구매각이다
483,와 얼마예요?
484,홀리쉿 구매각!!
485,뜨거운남자
486,오우.. 멋진 사람👍
487,🤟🤟🤟👍
488,King...
489,오👏🔥🔥
490,서점으로 고고씽!!!
491,파워 20번 읽었는데 요 녀석도 20번 읽겠습니다 감사함둥 !!
492,너무 멋있다.
493,이제 박지성이랑 동급이시네요
494,나ㅏ파워도읽엇서요 이것드꼭읽을게욤💗💗💗
495,🔥🔥🔥🔥🔥
496,aww
497,Wow~! So amazing!!!!
498,책표지 예뻐요😃 소장각이네요!! 읽을게요*-*
499,👏👏👏👏👏😍😍😍😍😍
500,Power속편입니까??!!🔥🔥🔥
501,형 꼭살께🔥
502,광클 예정 👍🏻 여행 못가는 시기에 형님 멘탈로 관광 다녀올 예정 🤘🏻
503,스윙스는 대단하다
504,@zxzxnm1 이책사쥬떼욤!!
505,@s_nore_lax
506,오..파워도 재밌게읽었는데 이것도 사봐야겠습니다 특유의 돈까문체 기대하겠습니다
507,형닝 사랑해요😭😭😭 돈만있으면 100권도사고싶다 스바
508,오 예약해서 구매한 후 정독하겠음!!!
509,@g____y.m 나는 읽을래요.. 😂
510,wow you really have done everything. king
511,거지라도 이건 바로 살겁니다 파워 너무 좋았어요 기대 !👍
512,읽고 독후감 남겨줄게요 오빠는 내 독후감 읽어줘요
513,@whtmfcks 이형꺼 읽어봐 ㅋㅋㅋ
514,@fuckyoupizzaboyfreerhehals
515,@ping159357
516,@boseok0
517,IT JUST MOONSWINGS HEAT 🔥🔥🔥
518,그게 그가 남기고간 message야 그게 그 사람의 album이야 그게 그사람의 작품이야 그게 그사람의 masterpiece야.-스윙스- holy-
519,형 나 바로 살거야
520,시바 이건 사야돼
521,둑흔둑흔 기대👏🏻👏🏻
522,@no__raemon 공동구매
523,Release black nut from the dungeons
524,일빠로 사면 빼빼로 사줘요
525,파워때처럼 사인은 못받겠죠 코로나도 겹치고 형도 이제 대기업이라 ㅠ
526,@mercieletoile 😍
527,@kwon.b_17 공동구매 각?
528,너모 멋찌심 .. 🧡🖤
529,3차까지 뿌수는거보고 더 올려팔기 개꿀 ㅅㄱ
530,🔥🔥🔥🔥🔥🔥🔥
531,어머 이건 위험해
532,👍
533,와 진짜 묵음처리안된 버전 너무 듣고싶어요ㅠㅠㅠ
534,"돈까스라구 조롱해서 운동도 하고, 퇴물이라고 조롱해서 랩으로 증명하고 ㅠ̑̈ㅠ̑̈ 세상에서 제일 멋져요 ❤"
535,이 형 따라한다고 노래방 마이크들 아작나는 소리가 여기까지 들리네 노래방 사장님들 힘내세요
536,유튜브 인기 급상승 동영상 1위👏👏
537,분명 확실한건 퇴물이 최고라는 뜻을 가졌다는거다
538,👍👍👍👍👍👍
539,"인간적으로 진짜 멋있음
난 이래서 스윙스 존나 조아
제일 어려운 길을 택해
그리고 보란듯이 증명하지 👏"
540,"I don't understand korean , BUT THAT'S MAH BOYYY SWINGS YAYAYAYAYAYYAYYAYAYA💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜"
541,Swings God 🔥 I think it would be more popular and legendary stages than the winners of SMTM 😂
542,u deserve all the respect big bro💯
543,너무 뭇닛어. ㅠ
544,행님존나리스팩합니다. 그누가 조나오글거린다해도 남자로써 존나멋있습니다.
545,와 개지리긴 한다 섹시해
546,🔥🔥🔥🔥🔥🔥🔥🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾
547,어머ㅜ이건 위험해
548,오빠 진짜 너무 자랑스럽고 멋있어요👍👍👍
549,미쳐쒀🤭
550,퇴물이 아니고 대물임..
551,@jisung.han @kylechaaau why is this season so crazg
552,@gwang_m0810 이거 멋있다고 ?
553,@ay2ari 지려ㄸㅏ•••
554,어머ㅜ이건 위험해
555,오빠 진짜 너무 자랑스럽고 멋있어요👍👍👍
556,미쳐쒀🤭
557,@zziho__x 잘하징
558,@lamar_90220 근데 마이크 언제 떨어져ㅋㅋㅋㅋㅋㅋ
559,@gookabbang 멋있지..
560,@hye.x_x 혜수가 좋아하는 스윙스다
561,퇴물이 아니고 대물임..
562,@chaaaan__00 king 개간지
563,👏👏👏👏👏👏👏
564,이게 바나나의 힘인가...
565,스윙쓰없으면 안봤다쇼미...
566,❣️🔥🔥🔥🔥🔥
567,힙합을 잘모르는 힙찔이지만 another level 인거는 알겠네요... 멋있는 사람이 되자가 삶의 목표인데 스윙스 님은 정말 그냥 멋있네요! 응원합니다!! 화이팅!!
568,저게 퇴물이라면 저는 퇴물입니다.
569,@belle0roses king 너네들 나 못 이겨 이 부분 진짜 취저다 ㅠㅠㅠㅠㅠㅜㅜ
570,개 멋있다...
571,@s__hoooo_ 킹 니네들은 나 못이겨 요 퇴물래퍼 어땠어
572,"아니 개잘해 ,,,"
573,👏👏👏최고👍
574,🔥🔥🔥🔥🔥🔥🔥
575,ㅈㄴ멋지다... 응원합니다 화이팅👍👍
576,👍👍👍🔥🔥🔥
577,🔥🔥🔥⚡⚡🔥🔥🔥
578,진짜 잘하네
579,짜앙❤️
580,형 진짜 우승가죠
581,퇴물래퍼 쩔었어요....😢👍
582,알뜰한 요한씨 @yohanheaven
583,Can't wait 😭😭😭
584,티비유머 계정인줄 알았어 형😙
585,@yjwh0609
586,다시 봐도 멋있다
587,👍
588,🔥🔥🔥
589,진짜 멋있었는데 🔥🔥
590,그걸 내가 사러갔다고 한다...
591,한요한 정말 알뜰해...
592,사랑해용❤️
593,🔥🔥🔥
594,알뜰살뜰 한요한..
595,@jooooooong.1 👍
596,King
597,@woolimyi14 이거봐 장난 아냐 ♥️
598,존나 멋있었다 ㅠ😍❤️
599,❤️
600,찢엇습니다 👏👏
601,캬~~~~~~~~급상승의 야수~~~~
602,👍🏻
603,LL Cool Swings 💪
604,최고였어👏🏻🖤
605,👍
606,안 튀겨져서 다행이야 🐽 자랑스럽다 돈까 👍🏻👍🏻
607,우리형 ㅎ
608,스윙스님의 몽골인🇲🇳🇲🇳 팬이에요. 어제 방송 보고 많이 울었어요. 자존감이 떨어질때 스윙스님의 유튜브 영상 보고 많은 위로와 자극을 받았어요 . 앞으로 웃는 날이 많을 거라 믿어요🙆‍♀️
609,스윙스 문지훈 멋있다!!!!💯💯
610,🥶
611,어땠긴 찢었드라... “느네들 나 몬이겨~”
612,최강이당
613,최고다아 😭♥️
614,대 멋졌음요 ..💪🏻
615,짱 멋져요 🤍🤍🤍
616,💯💯💯💯
617,쇼미보면서 돈까스먹엇는데 마이크던지는부분에서 놀래서 먹던 돈까스 떨어트림..마이크변상하지말고 내돈까스도 변상해라👍👍😎
618,"어제 방송보고 왠 눈물 너무 많이 울었어요, 기리보이 웃는 모습 좋아서 다신 울리는 일 없도록 ㅋㅋㅋ 어제 진짜 역댁급 레전드 💕🔥"
619,개간지 몇년만에 쇼미보면서 처음 소름돋았습니다 행님✨
620,용기있고 멋있어요
621,스윙스라는 사람이 누구인지를 잘 알려준 무대
622,방송보고 울음보가 터져버렸습니다...👏👏
623,형 존나 멋있어
624,따랑해 아기 돈까 ❤❤
625,진짜 존나 멋있어 오빠 넌 ....
626,오늘 신촌에서 2빠로 봐서 정말 영광이었어요!
627,우와아...👍🏻👍🏻👍🏻
628,진짜 보고 움.. 온몸에 소름돋았어요 너무 멋있어요 정말
629,"@mini_h97 나 이거보고 스윙스 팬되써 ,, 참 멋진 사람 ㅠ"
630,@lovesxckxxrl 이래서 내가 그런거야
631,형진짜 너무멋있었어
632,@chang_gi_man_gi 므찌다 진짜루 ㅠㅡㅠ 하
633,마이크 머리에 맞았음 천만뷰인데
634,🖤화🖤이🖤팅🖤 @jh_won
635,@k1ng_s_h 담주꺼 보고싶다
636,👏👏👏👏👏
637,@jupy_13 진심으로 멋있어
638,내 마음속의 형은 항상 1등 이었어
639,@on_yunju_air 진짜 존경하고 사랑하는 마음요 •••••
640,@minchyo__ 개멋짐 바바
641,"진짜 소름..,, 졸라 멋있어요..👍👍"
642,우리형
643,존나 머싯어 쮜벌🔥🔥
644,"제가 다 눈물나요ㅠㅠ
화이팅🙏🏻❤️❤️❤️"
645,굿굿 너무 좋습니다 형님
646,KING.
647,돈가스 찐자 잘 하다!!!! 🐷猪猪 화이팅!!!!
648,❤️
649,보면서 저절로 눈물이 났어요..
650,사랑해요 ♥️♥️ 처음으로 반한 래퍼
651,@iamsoawesome 멋져요 반했어요
652,존나 멋있다
653,존나 머싯어
654,You deserve it boss
655,#kingswings
656,형은 이제 돈까스가 아니라 스테이크다
657,WE ARE PROUD WITH YOU!!!
658,화이팅👍💕
659,👍🔥
660,응원합니다.🤗
661,👏👏👏
662,당신은 이제 숨만쉬어도 사랑만 받는 사람❤️
663,존멋👍🏻
664,멋져
665,👍👍👍👍👍👍
666,스윙스가 세우고 스윙스가 마무리 짓는 쇼미더머니 시리즈. 결자해지
667,🙏🏻🙏🏻
668,스윙스 멋있어요!!진심으로 힘내시구 앞으롱 열시미 응원할게요💖
669,와 진짜 역대급 충격
670,진짜 너무 멋있어요🙏🏻 본받고싶슴다
671,멋있습니다형님
672,리스펙👍🏻👍🏻🔥
673,🔥🔥🔥🔥
674,존나잘함
675,역시 리스펙🔥
676,❤️
677,❤️❤️
678,KING
679,❤️
680,매운돈까스
681,나 이오빠 조아함❤️
682,최고였어!
683,"멋있어요👏👏👏정말 보는 내내 소름 돋았네요ㅎㅎ저도 스윙스님처럼 무대,관객을 장악하는 랩 해보고싶네요🔥🔥"
684,국힙원탑 돈까스
685,같은 남자가 봐도 멋지네요~응원합니다!👍
686,이형진짜 죽여주네
687,🔥🔥🔥🔥
688,Legend
689,오빠 존나게 멋져
690,🐐🐐🐐🐐
691,그냥 멋있다
692,ㄹㅇ 개멋있습니다 형님!!!!
693,Pioneerrrr🔥🔥🔥
694,구라가 아니고 ㄹㅇ 오줌 지림 너무 멋져여
695,그 용기 닮고싶다. 대단해🙌
696,@ihaneul8253
697,💯💯💯💯💯💯💯💯💯💯💯
698,개멋있었엉🥇
699,ㅎㅎ🖤
700,진심 너무 멋있었음!!!👍🔥🔥🔥🔥🔥🔥🔥🔥
701,눈물이 주르륵
702,형 새치가 너무 보였어요 스트레스 받지 마시고 건강하세요ㅠ
703,최고라는 수식어가 어울리는 래퍼
704,누가 퇴물래퍼야 시발 스윙스가 그냥 스윙스 했다 저기있는 사람들 중에서 제일 잘하고 제일 멋졌고 제일 감동적이였음
705,좋나멋졌어
706,존나 멋있어요.👏👏👏 그냥 이젠 제일 존경스러운 사람
707,ONE AND ONLY
708,와 이때까지 앵간한 쇼미 2차무대 다 봤는데.. 진짜 최고다 한 열번 넘게 돌려보면서 삼십분은 질질 짠거 같다.. 스윙스형 legend of legends 입니다!!
709,개쩔었어요 형
710,진짜 레전드
711,나는 오늘 진짜 힙합을 봤다
712,지렸어
713,쩔었어
714,RESPECT
715,👏👏👏👏👏👏👏👏👏👏👏👏
716,쌌다...
717,😍
718,형 쩔었어요
719,완전짱!!!이었어요👍
720,오빠가 다 찢었어
721,형 존나 멌있어
722,ㄹㅇ 쌌어 형
723,"존나 멋있었습니다🔥
It’s good👏"
724,@kongsirra 그냥 멋있었다 너 ! ! !
725,@garam_g_6 나 스윙스 좋아졌어
726,@kkyu_h_ 쩔었어ㅜ진짜
727,@k1ng_s_h 쌉간지 이것이 힙합인가 싶었다
728,존멋
729,존나 멋잇어
730,형 많이 늘었네요?
731,@wl8dnjs22 존나 좋아
732,제 2의 전성기
733,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
734,우승하면 바로 해야지 스윙스 머리
735,왜들그리다운되있어펌 어때요?
736,"글에서도 목소리가 들리네 ..,,ㄷㄷ"
737,돈새로이...🖤
738,그건 좀..ㅋㅋ
739,미용실 가서 스윙스 머리 해주세요 하면 되겠네요
740,돈까컷
741,야수가 누군데.
742,"그건 쫌,,"
743,X....
744,저분 뒷태가 블랙넛이네
745,김새로이머리..
746,이건좀...
747,@_rlaald 바바 스윙스머리 먼가 있다니까
748,@gaaang9 ㅋㅋ강구씨 스윙스머리 맞져 ?
749,@won_vin
750,@yellrawkid_daily 우리 스웽스🙋🏻‍♀️
751,@y_hhn.s
752,@jun.__.seoo 스윙스머리해조
753,@mushroom_siroom
754,@ryuddokkang_7 스윙스따라한거네
755,@jonghaa_ 오빠 스윙스머리 잘어울려
756,@j__s._hh_04 저거 해바 ㅋㅋ
757,@chan9su 약간 너 머리아니냐?
758,@hyojii.n
759,@bus_uj 주섭이 모리 아닌교
760,@yuwlsxx 아오...
761,@add9901 야수의 머리를 할거임
762,@100_sangari 자기야 스윙스 머리 오때 존멋 jon mut
763,@seokjin0606_s_j 스윙스 머리 하러갓다 올게
764,@eunjun._.kim 힝...
765,@neobeunaecityboy '박상우 머리'
766,@ojuyoung__986 아 기리보이머리 말고 스윙스머리 할까
767,@_seeunis ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
768,@paper.youn 야수 said so..
769,@h._.j2n 야수 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미치겠네
770,진짜 싫다..
771,잘어울리는거같은데 왜의견이많지
772,돈까스 하더니 선넘는거 같습돠
773,솔직히 난 잘 어울리던데
774,간짜장곱배기컷
775,@yohan0621
776,야ㅋㅋㅋㅌ수ㅋㅋㅋㅋ
777,문스윙스핑크스머리
778,"""야수윙스"""
779,1
780,스윙스머리🙌🙌
781,아무노래나 해
782,간짜장머리
783,아근데 진짜 잘어울려
784,돈가스 머리 아닙니까 형님
785,ㅇㅇ
786,우리 스윙스형 개졸멋❣️
787,같은 머리 다른 느낌..🤔
788,스박윙서스준
789,돈새로이ㅠㅠㅠ
790,Sexy
791,나중에 저머리로 하고싶다
792,좋습니다 행님
793,헤어스타일도 '스윙스 머리' 영향력 대단합니다.👍
794,응응 스윙스가 그렇다면 그런거지 〰️〰️〰️〰️
795,아 언팔마렵네
796,마이크에 좀 세게 맞으신듯
797,형 잘생겼어
798,긍데 진짜루 잘어울려요👏👏
799,스윙스 젤루 잘 어울료 ~!~!~!!!
800,@junyoung__gram 아랏쥐
801,@h_jin_ 일경컷할래?
802,형.....그.....ㅇ...알겠어요....
803,돈가스 머리
804,확실히 게임 체인저다...
805,@2no.96 읭...?
806,@s_nore_lax
807,수야수
808,@whduhx
809,저거 원래 뻘컵 머리 아니냐고 ㅋㅋㅋㅋㅋㅋㅋㅋ
810,형님 야수머리는 쇼미2때 행님 올린머리가 야수머린것같습니다
811,@41jisu 내가 하면 어떨거같아?
812,스윙스얼굴형이랑잘어울리는거
813,"@keun.10 도전해봐요
응원할게요"
814,@donghyeon9795 ㄹㅇ 스윙스 머리해주라 자기 잘어울릴듯 스윙스 머리 바꾸고 회춘했으니깡
815,@honghwani 이거해
816,아 이거 내머리였는데 @ansxogus1120 크롭컷 고딩떄
817,돈까스야 살 다시 안찌우면 키스박는다
818,ㅋ ㅋ ㅋㅋㅋㅋㅋ
819,@tkdtlr97 꾸엥
820,스록위마
821,@dxxe_05.3 ㅋㅋㅋㅋㅋㅋ졸래웃겨
822,"""돈까스 머리 해주세요"""
823,스윙스머리인전
824,ㅋㅋㅋㅋ아
825,sssssssexy
826,자신이 잘생긴건 모르고 야수인건 잘아는 남자..
827,아우!!!! 대신 나는!!!! 하다가 불구덩이가는거아니야?
828,@jh_960924 윙스컷.....X
829,야 수윙스
830,스윙스컽
831,ㅎ... ㅎ...스윙칩 먹고 싶당
832,조까슈 ㅋㅋ
833,윙스컷
834,@juunvv ㅋㅋㅋㅋㅋ니머리아니가 혁준아
835,문야수 💖
836,@wtr__96 스윙스머리
837,윙컷...ㄷㄷ
838,워허...이거시 파급효꽈....🤦🏻‍♂️
839,ha ha ha h哈哈哈哈
840,@mhhh__21 이번해훈때 이머리로 해와
841,@nammumm 너 머리
842,@_07_29__ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
843,"형님,, 제 디엠은 왜 답장안해줘요"
844,@seh2e._
845,라고 돈까스가 내 귀에 조용히 속삭였다.
846,@gyurrr 민성이가 맨날 이렇게 머리 자르는데
847,야수윙스
848,@_baaaakaaaa_
849,@goni_0915 스윙스머리
850,@dhqudgks99 병한 스윙스머리해~
851,미용실가서 돈까스 하나 주세요 하면 되는거죠?
852,@hro.k ?
853,🤙🤙
854,@gy_su
855,스윙스 제일 멋있는 사람❤️
856,@srgghg424 ㅋㅋㅋㅋㅋ
857,형님.. 사채빚에서 벗어날수있게 도와주세요
858,@__xaxeong ?;;
859,윙스형 힘을줘
860,@wy_bh 나 이때까지 스윙스머리..
861,아무 말 안할게여 ㅎ
862,@_soyonara 스윙스 머리 해 ?
863,@lz._.o9 BAMNMMMMM
864,😂😂😂
865,@rey_s_an 너가먼저햇음!!!
866,돈새로이 ㅋㅋㅋㅋㅋㅋㅋㅋ 스윙스 머리도 있지만 스윙스 마스카라도 있쥐~❤️ 아주 혁신의 아이콘이네 오빠~
867,이상하게 자꾸 좋아지네 윙스
868,잌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
869,쥰나 귀엽넼ㅋㅋㅋㅋㅋㅋ
870,@qhrhtlvek_4 역시 존잘 ㄷ ㄷ
871,@hr_1024_929 짜르러가자 ㅎㅎ
872,@jinhee.v 어흥〰️!
873,박새로이 머리에 이은 #스윙스_머리
874,@think._.jun
875,뻘컵머리
876,아이엠제이엠위더플럭머리
877,@___dcaka___ ㅋㅋㅋㅋㅋ
878,스윙스컷
879,이건 억지예요 형 ㅠ
880,@suming0707 @vit_vely_ @yuuuubin_ee @genius__1 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
881,❤️
882,@mang_so_2 너 아니냐
883,@__1b.k_ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 야수 ㅋㅋㅌㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ
884,@hiimysb 이거 내머리인데..이제 '스윙스 머리'야 호올릐 몰릐
885,@si_hyun__j ㅋㅋㅋ자기이머리
886,"In Vietnam, we call this hairstyle is “dau cat moi”"
887,후
888,@_xnniix 야숰ㅋㅋㅋㅋㅋ...
889,그럼 미용실에서 “돈까스 주세요” 하면 되요 ?
890,'아무말하지마'읽자마자 스윙스 쉿 하는짤 생각남
891,스윙스님 헤어보고 울아들램도 스윙스가즈아 👍👍👍👍👍👍👍👍👍👍👍👍👍
892,@1004jin0
893,👍
894,@da__men
895,Eye-
896,@seonhong4706 어땡
897,@03_pjy 빵 터짐
898,@kangtaelx 스윙스머리할까
899,음성지원 어떻게 하신건가요?? 직접 녹음본 받아오신건가?
900,@by._.o0 이거 해바
901,@yoon__jae_95 @jaedo_95 재두 머리 st
902,@zoo__logist 스윙스머리 해보실?
903,@jjeong_414 야수가 그렇게 말했으니까.. 알겠어?✊
904,@l.cks_w_
905,아 이건 머리 입장도 들어봐야 될것같은데
906,@hyojin0801
907,@slk__6t 이거 그냥 원래 오빠 머리 아니야?
908,@sjimin_0908 야수...♥️
909,형 저거 원조 내 머리인데 ?
910,뻘컵 머리
911,@angunshot 내머리 아니냐?
912,@dior__panty its you?
913,@hyangjioh 어떰
914,@haeju9133 해주 잘어울릴 것 같은뎅
915,@chiritori_ 남자친구 맞지 이분??
916,넷 형님!
917,swings if you want to lose weight baby make sure you stop eating chicken breast 😤😭
918,@iam._.groooot_
919,👀👀👀👀 oque aconteceu?
920,명절날의 친첩컷..😍
921,@dhclgh 돈까로이컷 나도 해볼까
922,@nayeon_k00 @ye_1_cho ㅇㅋ?
923,@saem_vely 내모리 ㅋ
924,아 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋ @sxtxaxrx_h.h
925,❤️❤️❤️❤️😂😂😂
926,@badkittym1n
927,@hamtol_e
928,ㅋㅋㅋㅋㅋㅋ 미쳐 ㅋㅋ
929,@a_hxxni 나 스윙스 머리할까?ㅋㅋㅋㅋㅋㅋㅋ
930,오빠가 한게 젤 멋짐❤️
931,미용실가서 스윙스머리 해달라고 했더니 빡빡이 될 번 했어요...
932,@hogil97
933,@shoesisnike
934,@_h99n 장지훈머리 아님?
935,@minchichi_ 스윙스머리엿어
936,@ooooosjj 송새로이 잘어울릴거같애
937,@wyhxye @this_life_one @jeongjae.ha 경태쌤 아니냐
938,신촌현백 팝업매장에 계속 계시나요? 언제가면 뵐수있나요????
939,@seonvely_ 야수가 정한머리
940,팬이에요🙏🙏🙏🙏
941,@yeonee.a 근데 나 이머리 좋아함
942,@xoringring
943,@a_c1116
944,ㅋㅋㅋㅋㅋ
945,@miher_97
946,@tkdghek_5 해줘
947,ㅇㄱㅅ
948,@100_jinu 윙스컷 해바바
949,❤️❤️❤️❤️❤️❤️❤️❤️riaj역시형은계획이있구만
950,@727mm_ @190_0min 아 개웃긴데 왜들그리다운되있어펌 어떠녴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
951,본방시청하고옴. 멋있어요!
952,힘내요 스윙스!!!!!!!
953,와 진짜 ㅈㄴ 잘한다 미쳤다
954,형 쇼미보고있는데 멋지고 리스펙 합니돠
955,ㅋㅋㅋ멋져용
956,2차 장난아니다
957,윙스오빠 왜이리 멋지심?😭
958,오늘찐멋👍
959,쇼미 본방 사수중인데 와.. 진짜 그냥.. 왘ㅋㅋ 스윙스 최고......
960,오빠진짜개짱멋있어요 우주에서 젤멋있어요 난이렇게 찢어놓을줄알았돠규ㅜㅜ 내눈물샘까지 찢어놓다늬 당신은정말최고에여👍👍👍👍😍
961,👍👍👍👍👍👍👍
962,지금 쇼미보는중 형 개멋있다 진심으로
963,@yj_0803 @m1nns2 @_hotsso 개웃기네 ㅋㅋㅋㅋㅋㅋㅋ
964,윙스게이야..뭐하노
965,스윙스가 쇼미 나온거 부터 완전 힙하당 증명했음
966,당신의 도전을 진심으로 응원합니다!!
967,🔥🔥🔥🔥🔥🔥🔥
968,쇼미더 머니 잘보고있어요 너무멋있어요❤️
969,마지막에 개소름 진짜 멋있어요!👍🏻 멋있는 사람
970,형 지금 최고예요 👏
971,아 진짜 너무 멋있어 울지마 스윙스
972,형무대 쌉오져 진짜 🔥🔥
973,형 너무 멋있어요 존경스러워요
974,Swings you jonna mutju 짱
975,형 진짜 감동했어요
976,💕💕
977,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻최고
978,쇼미보며.최고라생각합니다.멋진사람
979,존나 상남자 같은 연신내 출신으로 자랑스럽다
980,쇼미9 스윙스2차 너무좋았어요😢😢👏👏👏👏👏
981,쇼미보고왔어요 되게 강한 사람이라 생각하는데 우는거보고 괜히 마음이 찡하더라구요. 랩도 진짜 너무멋있었고 사장으로서도 래퍼로서도 사람으로서도 정말 멋진 사람인 것 같아요
982,댓글 달아도 안읽으실거라는 아들이 얘기 하지만 ~ 쇼미 보고 스윙스님 팬이 됩니다 정상의 자리에 계신데 도전하는 모습 정말 멋지세요 언제나 기도하겠습니다 상처받지 않기를 언제나 스윙스 답게 살아갈 수 있길
983,형님 다시봤습니다 문스윙스🔥
984,@minddong__e 스윙스머리 해 알고보니깐 이 머리 귀여운 머리였네
985,울지마요 형
986,형 2차 예선 걍 부셔버려노면 어떡해
987,형님은 절대로 퇴물 레퍼가 아닙니다! 우리나라 최고 No.1 래퍼 이십니다!!👍👍
988,진짜 사랑해요 팬됨
989,42살 아줌마도 스윙스 응원합니다
990,@luv_my_summer 아무 말 하지마
991,",개멋있어요"
992,ㅇㅈ
993,빈지노도 저 머리 했던거같은데
994,와 너무좋아요 본방챙겨서 보는데..와 스윙스❤️
995,ㅠㅜㅠㅜㅠ나도 움..언제나 화이팅 멋있다정말
996,가장좋아하는래퍼♥
997,멋진형
998,@b._.bom2 ㅎㅎ 아..
999,정갈
1000,형 존경합니다👍🏻
1001,솔직히 멋있다 팬은 아니여도 응원하겠으~
1002,꺅><!!무슨 머리를 해도 다 잘어울려💕💕
1003,🔥🔥🔥🔥🔥 스윙스 2차 보고나서 다른 건 잊어버림
1004,이게 랩이지 ..이게 랩이고 이게 래퍼지... 일단 다르자나! 언제부터 이정도 수준의 랩이 퇴물이 되었는지 ㅠㅠ
1005,@iloverachel1004 스윙스 머리 해줘
1006,ㅋㅋㅋㅋㅋ
1007,오늘 미쳤다 스윙스형 제대로 보여줬어요🙏🙏🙏
1008,오늘 짱이였습니다ㄷㄷ
1009,더 욕해서 윙스형 쇼미10 띄우자 하
1010,100배 더 잘 어울려요!
1011,@g_gyoot_98 나는 이 형 진짜 못 말려 ㅋㅋ
1012,@leeminotauros 이거해바바
1013,스로이??😍
1014,@o3o_9 나이머리 좋아하은데..
1015,@2ooo_sh 우린 전역하면 딱 이 머리 나올수밖에 없는데..
1016,@97baam 아 진심ㅋㅋㅋㅋㅋㅋ
1017,@hoedonryu 오늘 혹시 스윙스머리?
1018,@1777mmm_
1019,@kec0kec0rip 진짜 싫다 말투
1020,@hyun_1387 이거 ㄱ해봐
1021,머리 ㅈㄴ잘어울리던데 시발
1022,@lotuscorolle 뻘컵머리같어
1023,@hjung_g
1024,@2_j._.u 나 이머리 할까
1025,@taehoisback 호둥이가 시초아니냐!
1026,@wo.oyu_ 여보 잘어울릴고같아
1027,ㅋㅋㅋㅋ
1028,@moon.g.w98 상고 아인교..
1029,@_ohgodshesraeee ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1030,ㅋㅋㅋㅋㅋㅋ스윙스머리 귀여운데 난
1031,@0do_mimo 우와 근데 저거 진짜 잘어울려
1032,@__yong.hyeon
1033,돈까스컷
1034,@bbb_h1203
1035,@ji_ik_1020 의직이도 야수의 말을 따라
1036,@sori_beenfroy 전역하면 일단 이머리
1037,@miniv.v 내머리 스윙스머리 됐어 갑자기..
1038,@daramgi_jmt 알았냐고
